EventId, Occurrences, EventTemplate
E0, 1, Linux version oe-user@oe-host GCC GNU ld GNU Binutils SMP PREEMPT Sun May UTC
E1, 1, Command line: BOOT_IMAGE=/boot/vmlinuz root=/dev/sda2 d ro
E2, 2, x86/fpu: Supporting XSAVE feature registers
E3, 1, x86/fpu: Supporting XSAVE feature floating point registers
E4, 1, x86/fpu:
E5, 1, signal: max sigframe size:
E6, 1, BIOS-provided physical RAM map:
E7, 2, mem ACPI NVS
E8, 1, x86/fpu: Enabled xstate features context size is bytes using compacted format.
E9, 9, mem
